source1_entity_id,missed_target_id,reason,country_mismatch,beyond_rank_cut,postings_budget_dropped
S1-14541988,S3-838869165,beyond_rank_cut,False,True,False
S1-889681716,S2-580261705,beyond_rank_cut,False,True,False
S1-62632211,S3-768580695,beyond_rank_cut,False,True,False
S1-510817063,S3-150462538,beyond_rank_cut,False,True,False
S1-518753588,S3-279007170,no_shared_term,False,False,False
S1-518753588,S3-567725427,beyond_rank_cut,False,True,False
S1-518753588,S3-82860715,beyond_rank_cut,False,True,False
S1-465791955,S2-815556727,no_shared_term,False,False,False
S1-733961272,S2-566690427,no_shared_term,False,False,False
S1-733961272,S3-318302554,no_shared_term,False,False,False
S1-733961272,S3-431627915,no_shared_term,False,False,False
S1-733961272,S3-548942431,no_shared_term,False,False,False
S1-878904874,S2-492743243,beyond_rank_cut,False,True,False
S1-559465748,S3-238149096,no_shared_term,False,False,False
S1-559465748,S3-529063159,no_shared_term,False,False,False
S1-93136530,S2-828254450,beyond_rank_cut,False,True,False
S1-93136530,S3-274663730,beyond_rank_cut,False,True,False
S1-171271069,S3-357841207,beyond_rank_cut,False,True,False
S1-132222606,S3-473759564,beyond_rank_cut,False,True,False
S1-108667277,S3-537570654,beyond_rank_cut,False,True,False
S1-856442289,S2-185171960,beyond_rank_cut,False,True,False
S1-856442289,S2-759323779,beyond_rank_cut,False,True,False
S1-353813872,S2-645824977,no_shared_term,False,False,False
S1-429879456,S2-814924904,no_shared_term,False,False,False
S1-429879456,S3-622571996,beyond_rank_cut,False,True,False
S1-478222711,S2-58132978,beyond_rank_cut,False,True,False
S1-502019687,S3-293670151,beyond_rank_cut,False,True,False
S1-644830606,S2-794095709,no_shared_term,False,False,False
S1-644830606,S3-834814676,no_shared_term,False,False,False
S1-683978618,S3-753400696,beyond_rank_cut,False,True,False
S1-97581850,S3-256916098,beyond_rank_cut,False,True,False
S1-97581850,S3-3248296,beyond_rank_cut,False,True,False
S1-97581850,S3-60652506,no_shared_term,False,False,False
S1-842006083,S2-262876642,beyond_rank_cut,False,True,False
S1-290196545,S2-882931229,no_shared_term,False,False,False
S1-859030799,S2-808841124,no_shared_term,False,False,False
S1-859030799,S3-900638540,no_shared_term,False,False,False
S1-71172417,S3-806740086,beyond_rank_cut,False,True,False
S1-719254155,S2-349371707,no_shared_term,False,False,False
S1-327326162,S3-739697873,no_shared_term,False,False,False
S1-303161839,S2-557617201,no_shared_term,False,False,False
S1-303161839,S3-602572832,no_shared_term,False,False,False
S1-887158282,S3-641292303,no_shared_term,False,False,False
S1-496902896,S3-867294255,beyond_rank_cut,False,True,False
S1-748981483,S3-411314873,beyond_rank_cut,False,True,False
S1-799384661,S3-614068251,beyond_rank_cut,False,True,False
S1-161665255,S3-473725940,no_shared_term,False,False,False
S1-318749106,S3-916543250,beyond_rank_cut,False,True,False
S1-815919937,S2-127680244,beyond_rank_cut,False,True,False
S1-951192072,S2-374827640,beyond_rank_cut,False,True,False
S1-951192072,S2-518809729,beyond_rank_cut,False,True,False
S1-952176357,S3-875161736,beyond_rank_cut,False,True,False
S1-324280856,S3-649523586,beyond_rank_cut,False,True,False
