source1_entity_id,true_match_count,candidate_count,hits,missed_target_ids
S1-440618182,3,300,3,
S1-700601528,4,300,4,
S1-579771688,3,300,3,
S1-586848386,2,300,2,
S1-660390967,2,300,2,
S1-633876347,7,300,7,
S1-622839431,2,300,2,
S1-326074569,3,87,3,
S1-384390301,2,300,2,
S1-14541988,3,300,2,S3-838869165
S1-381412836,3,300,3,
S1-995945998,4,300,4,
S1-882884213,7,300,7,
S1-60925532,2,300,2,
S1-627401663,4,300,4,
S1-939836796,3,141,3,
S1-436812211,2,300,2,
S1-732377071,4,300,4,
S1-361349672,0,300,0,
S1-889681716,3,300,2,S2-580261705
S1-427474217,6,300,6,
S1-149128055,5,300,5,
S1-275553935,4,39,4,
S1-764634320,3,300,3,
S1-731661469,3,300,3,
S1-483248630,1,300,1,
S1-62632211,4,300,3,S3-768580695
S1-775048141,6,300,6,
S1-325371755,3,300,3,
S1-166513099,3,300,3,
S1-583867618,4,300,4,
S1-399888568,2,300,2,
S1-550118359,3,300,3,
S1-645509907,4,300,4,
S1-485702145,3,300,3,
S1-826945271,6,300,6,
S1-982210261,5,300,5,
S1-83506377,2,300,2,
S1-481850300,3,300,3,
S1-389044153,3,300,3,
S1-963177903,2,300,2,
S1-924793309,5,300,5,
S1-483379550,5,300,5,
S1-752276698,6,300,6,
S1-825946028,3,300,3,
S1-226969280,3,300,3,
S1-510817063,3,300,2,S3-150462538
S1-855787505,1,300,1,
S1-76785752,3,300,3,
S1-101887068,3,300,3,
S1-955501321,6,300,6,
S1-957842013,5,300,5,
S1-518753588,4,300,1,"S3-279007170,S3-567725427,S3-82860715"
S1-912092276,2,300,2,
S1-353375920,3,300,3,
S1-840018949,3,300,3,
S1-488974854,2,300,2,
S1-251016459,5,300,5,
S1-606598171,4,223,4,
S1-543420637,3,300,3,
S1-791552758,3,300,3,
S1-256820572,5,300,5,
S1-990403626,5,300,5,
S1-150818097,2,300,2,
S1-260454388,3,300,3,
S1-503752074,3,300,3,
S1-244310585,7,300,7,
S1-880821815,4,300,4,
S1-511561869,5,300,5,
S1-113997373,3,300,3,
S1-221310564,6,300,6,
S1-182251858,5,300,5,
S1-202204145,3,300,3,
S1-36421626,1,300,1,
S1-248483775,4,300,4,
S1-365358186,4,300,4,
S1-357592881,5,300,5,
S1-684786674,3,300,3,
S1-244818937,4,300,4,
S1-443204867,4,300,4,
S1-306638906,4,300,4,
S1-791002488,4,300,4,
S1-247861343,4,300,4,
S1-163494248,1,300,1,
S1-637912793,2,300,2,
S1-219193508,3,300,3,
S1-233175310,3,300,3,
S1-78979225,3,300,3,
S1-860932767,5,300,5,
S1-28192418,5,300,5,
S1-543302463,3,300,3,
S1-205783060,2,300,2,
S1-366899338,5,300,5,
S1-78298280,2,176,2,
S1-698864282,6,300,6,
S1-705258379,1,300,1,
S1-838302792,6,300,6,
S1-455406656,0,300,0,
S1-732848234,4,300,4,
S1-933024238,3,300,3,
S1-780241102,3,300,3,
S1-359085631,3,300,3,
S1-465791955,5,300,4,S2-815556727
S1-475968051,3,300,3,
S1-223899166,5,300,5,
S1-719760641,4,300,4,
S1-59765220,3,300,3,
S1-934260521,6,300,6,
S1-241221159,0,300,0,
S1-147973901,5,300,5,
S1-302168185,4,300,4,
S1-489140933,5,300,5,
S1-497228591,6,300,6,
S1-728356469,3,300,3,
S1-189341212,1,300,1,
S1-699903772,4,300,4,
S1-869294082,2,272,2,
S1-225146532,3,300,3,
S1-954507268,3,300,3,
S1-207845621,3,300,3,
S1-143248675,7,300,7,
S1-733961272,5,73,1,"S2-566690427,S3-318302554,S3-431627915,S3-548942431"
S1-229819170,3,300,3,
S1-905066001,4,300,4,
S1-640740098,4,10,4,
S1-488386378,2,300,2,
S1-425527949,2,300,2,
S1-584055507,7,300,7,
S1-564388954,1,300,1,
S1-8092452,2,300,2,
S1-771432057,6,300,6,
S1-305144836,2,10,2,
S1-113864572,2,218,2,
S1-804861975,5,300,5,
S1-117776415,5,300,5,
S1-839024941,4,300,4,
S1-408798130,3,300,3,
S1-786883807,4,300,4,
S1-825046832,2,300,2,
S1-240348483,2,300,2,
S1-580567254,7,300,7,
S1-686908584,3,300,3,
S1-452406849,2,68,2,
S1-660621016,7,300,7,
S1-111673633,2,300,2,
S1-390071221,3,300,3,
S1-98851631,1,300,1,
S1-712686730,3,300,3,
S1-575089818,2,300,2,
S1-710914129,0,300,0,
S1-27728145,5,300,5,
S1-878904874,3,300,2,S2-492743243
S1-427852526,4,300,4,
S1-777318611,2,300,2,
S1-743758568,3,300,3,
S1-209736301,5,300,5,
S1-421200940,6,300,6,
S1-178266987,0,300,0,
S1-398189618,3,300,3,
S1-696747565,0,300,0,
S1-923701924,4,300,4,
S1-778303308,3,300,3,
S1-24672795,0,300,0,
S1-559465748,6,300,4,"S3-238149096,S3-529063159"
S1-498738124,3,300,3,
S1-403165191,4,300,4,
S1-622557613,7,300,7,
S1-744911902,5,300,5,
S1-851703265,6,300,6,
S1-738300154,3,246,3,
S1-334989758,2,300,2,
S1-247063894,0,300,0,
S1-395541125,5,300,5,
S1-901915681,3,300,3,
S1-469249422,4,300,4,
S1-627027690,6,300,6,
S1-496644869,3,300,3,
S1-84025231,2,300,2,
S1-93136530,3,300,1,"S2-828254450,S3-274663730"
S1-824007070,5,300,5,
S1-426049568,5,300,5,
S1-365761291,3,300,3,
S1-737635669,8,300,8,
S1-952388170,8,300,8,
S1-468761860,5,300,5,
S1-515096147,3,190,3,
S1-273124325,2,300,2,
S1-789048998,2,300,2,
S1-338364478,0,300,0,
S1-411862918,2,300,2,
S1-186995697,3,300,3,
S1-367097582,2,300,2,
S1-662176231,2,300,2,
S1-941759105,2,300,2,
S1-361268788,7,300,7,
S1-786566984,6,300,6,
S1-843035450,5,300,5,
S1-941423672,2,300,2,
S1-667020488,6,300,6,
S1-851059277,4,300,4,
S1-125956128,1,300,1,
S1-241380060,6,300,6,
S1-186774453,5,300,5,
S1-20525180,3,300,3,
S1-741324030,5,300,5,
S1-892497443,1,300,1,
S1-894582951,2,300,2,
S1-187257409,5,229,5,
S1-42010881,3,300,3,
S1-25711063,4,300,4,
S1-629824718,4,300,4,
S1-580966525,6,300,6,
S1-755404256,6,300,6,
S1-351475458,7,300,7,
S1-347198036,3,300,3,
S1-513529451,2,300,2,
S1-331652181,4,300,4,
S1-349765272,1,141,1,
S1-828917180,5,229,5,
S1-220135012,5,300,5,
S1-428646886,5,300,5,
S1-530707770,4,300,4,
S1-651777458,4,300,4,
S1-36854252,3,211,3,
S1-683193054,3,300,3,
S1-672129952,1,105,1,
S1-520895946,5,300,5,
S1-648573711,4,300,4,
S1-16666517,6,300,6,
S1-440424211,3,173,3,
S1-189456286,4,300,4,
S1-52054860,3,300,3,
S1-659114830,5,300,5,
S1-795282546,3,300,3,
S1-97138697,3,300,3,
S1-306488054,3,300,3,
S1-989093931,4,272,4,
S1-171271069,6,300,5,S3-357841207
S1-977256876,3,300,3,
S1-554689557,2,300,2,
S1-709876465,5,300,5,
S1-71677576,6,300,6,
S1-546982023,3,275,3,
S1-803814021,8,300,8,
S1-925155997,7,300,7,
S1-132222606,6,300,5,S3-473759564
S1-896008248,2,300,2,
S1-601249195,4,300,4,
S1-302921309,4,300,4,
S1-776827623,4,300,4,
S1-108667277,5,300,4,S3-537570654
S1-412542557,5,300,5,
S1-856442289,5,300,3,"S2-185171960,S2-759323779"
S1-886598950,3,300,3,
S1-41869273,3,300,3,
S1-821408216,4,300,4,
S1-108035092,1,300,1,
S1-94297591,7,300,7,
S1-246001273,4,300,4,
S1-365815294,7,261,7,
S1-621483431,1,300,1,
S1-999466062,0,300,0,
S1-890667784,5,300,5,
S1-820087665,4,300,4,
S1-721764796,1,300,1,
S1-938249288,4,300,4,
S1-229995330,5,300,5,
S1-784297108,0,300,0,
S1-80880267,4,300,4,
S1-906106057,3,300,3,
S1-387767909,6,300,6,
S1-355371311,6,300,6,
S1-353813872,2,300,1,S2-645824977
S1-684613089,7,300,7,
S1-456956,7,300,7,
S1-97406895,2,300,2,
S1-388588239,3,300,3,
S1-998723485,5,300,5,
S1-397132637,4,300,4,
S1-429879456,4,300,2,"S2-814924904,S3-622571996"
S1-861749814,4,300,4,
S1-3732976,2,300,2,
S1-65992396,4,300,4,
S1-895771779,3,300,3,
S1-260930309,2,300,2,
S1-410341302,0,300,0,
S1-615785908,4,300,4,
S1-51047340,6,300,6,
S1-883378001,2,300,2,
S1-649703152,3,300,3,
S1-738384549,3,300,3,
S1-594636853,3,300,3,
S1-769035888,7,300,7,
S1-182977892,2,300,2,
S1-689273672,6,300,6,
S1-825448676,5,300,5,
S1-763471922,0,300,0,
S1-396217966,5,300,5,
S1-551745840,6,300,6,
S1-303203608,6,300,6,
S1-185622680,0,300,0,
S1-411265622,4,300,4,
S1-157821651,3,300,3,
S1-390617751,4,300,4,
S1-383550000,2,300,2,
S1-863496713,4,300,4,
S1-297401455,3,300,3,
S1-802105118,6,300,6,
S1-995106671,4,300,4,
S1-694015836,2,300,2,
S1-939498928,3,300,3,
S1-284710338,4,300,4,
S1-573403076,5,210,5,
S1-864768567,6,300,6,
S1-436719523,4,300,4,
S1-962821222,3,300,3,
S1-68902609,5,123,5,
